new_ph_name,net_amtc,store,dept,work_date,type_yr
01 Luxuries,53566,02 Store B,Dept 1,2015/03/20,This Year
01 Luxuries,134291,02 Store B,Dept 1,2015/03/21,This Year
01 Luxuries,36738,02 Store B,Dept 1,2015/03/22,This Year
01 Luxuries,116451,02 Store B,Dept 1,2015/03/23,This Year
01 Luxuries,146671,02 Store B,Dept 1,2015/03/24,This Year
01 Luxuries,137183,02 Store B,Dept 1,2015/03/25,This Year
01 Luxuries,51097,02 Store B,Dept 1,2015/03/26,This Year
01 Luxuries,72650,02 Store B,Dept 1,2015/03/27,This Year
01 Luxuries,72036,02 Store B,Dept 1,2015/03/28,This Year
01 Luxuries,77165,02 Store B,Dept 1,2015/03/29,This Year
01 Luxuries,95542,02 Store B,Dept 1,2015/03/30,This Year
01 Luxuries,123445,02 Store B,Dept 1,2015/03/31,This Year
01 Luxuries,56594,02 Store B,Dept 1,2015/04/01,This Year
01 Luxuries,71386,02 Store B,Dept 1,2015/04/02,This Year
01 Luxuries,241224,02 Store B,Dept 1,2015/04/03,This Year
01 Luxuries,83852,02 Store B,Dept 1,2015/04/04,This Year
01 Luxuries,131753,02 Store B,Dept 1,2015/04/05,This Year
01 Luxuries,40458,02 Store B,Dept 1,2015/04/06,This Year
01 Luxuries,83912,02 Store B,Dept 1,2015/04/07,This Year
01 Luxuries,50084,02 Store B,Dept 1,2015/04/08,This Year
01 Luxuries,227431,02 Store B,Dept 1,2015/04/09,This Year
01 Luxuries,145952,02 Store B,Dept 1,2015/04/10,This Year
01 Luxuries,95161,02 Store B,Dept 1,2015/04/11,This Year
01 Luxuries,140877,02 Store B,Dept 1,2015/04/12,This Year
01 Luxuries,69555,02 Store B,Dept 1,2015/04/13,This Year
01 Luxuries,68729,02 Store B,Dept 1,2015/04/14,This Year
01 Luxuries,104697,02 Store B,Dept 1,2015/04/15,This Year
01 Luxuries,74786,02 Store B,Dept 1,2015/04/16,This Year
01 Luxuries,72563,02 Store B,Dept 1,2015/04/17,This Year
01 Luxuries,308191,02 Store B,Dept 1,2015/04/18,This Year
01 Luxuries,133988,02 Store B,Dept 1,2015/04/19,This Year
01 Luxuries,96558,02 Store B,Dept 1,2015/04/20,This Year
01 Luxuries,140972,02 Store B,Dept 1,2015/04/21,This Year
01 Luxuries,117890,02 Store B,Dept 1,2015/04/22,This Year
01 Luxuries,264719,02 Store B,Dept 1,2015/04/23,This Year
01 Luxuries,309621,02 Store B,Dept 1,2015/04/24,This Year
01 Luxuries,141468,02 Store B,Dept 1,2015/04/25,This Year
